"Pos","Ct SYBR"
"A1",23.63
"A2",34.09
"A3",27.41
"A4",25.89
"A5",26.47
"A6",22.12
"A7",20.65
"A8",34.72
"A9",26.50
"A10",26.12
"A11",26.05
"A12",21.66
"B1",22.51
"B2",21.92
"B3",35.72
"B4",21.35
"B5",21.01
"B6",31.20
"B7",23.44
"B8",21.56
"B9",32.45
"B10",22.69
"B11",20.84
"B12",30.09
"C1",""
"C2",22.78
"C3",32.70
"C4",""
"C5",18.66
"C6",27.76
"C7",35.92
"C8",22.23
"C9",35.32
"C10",""
"C11",18.06
"C12",26.74
"D1",32.01
"D2",19.57
"D3",28.10
"D4",26.66
"D5",20.12
"D6",23.81
"D7",31.86
"D8",19.91
"D9",28.19
"D10",25.91
"D11",20.11
"D12",24.07
"E1",25.97
"E2",18.89
"E3",23.57
"E4",33.46
"E5",21.79
"E6",21.81
"E7",26.92
"E8",17.63
"E9",23.38
"E10",34.75
"E11",21.79
"E12",22.05
"F1",25.97
"F2",26.66
"F3",32.82
"F4",22.67
"F5",27.30
"F6",21.33
"F7",25.17
"F8",26.83
"F9",32.13
"F10",22.26
"F11",27.44
"F12",21.70
"G1",32.44
"G2",20.39
"G3",28.92
"G4",21.78
"G5",22.87
"G6",30.60
"G7",32.49
"G8",19.36
"G9",28.59
"G10",21.85
"G11",22.82
"G12",29.88
"H1",30.38
"H2",16.94
"H3",19.19
"H4",""
"H5",21.09
"H6",27.89
"H7",33.32
"H8",16.02
"H9",19.95
"H10",""
"H11",20.16
"H12",19.91
