"Pos","Ct SYBR"
"A1",22.51
"A2",33.98
"A3",27.83
"A4",27.72
"A5",27.44
"A6",21.95
"A7",20.94
"A8",32.80
"A9",26.58
"A10",25.45
"A11",25.89
"A12",21.89
"B1",19.57
"B2",21.31
"B3",33.80
"B4",21.80
"B5",21.15
"B6",30.70
"B7",18.91
"B8",20.85
"B9",31.78
"B10",22.09
"B11",20.67
"B12",30.59
"C1",36.64
"C2",22.25
"C3",32.70
"C4",""
"C5",18.65
"C6",27.08
"C7",34.04
"C8",21.92
"C9",33.23
"C10",""
"C11",18.81
"C12",28.03
"D1",30.46
"D2",18.99
"D3",28.18
"D4",26.39
"D5",20.10
"D6",23.43
"D7",28.62
"D8",18.20
"D9",27.43
"D10",26.20
"D11",20.03
"D12",23.89
"E1",24.44
"E2",18.02
"E3",23.49
"E4",33.84
"E5",21.41
"E6",20.92
"E7",24.29
"E8",17.71
"E9",22.97
"E10",34.94
"E11",21.39
"E12",22.18
"F1",25.03
"F2",26.37
"F3",34.21
"F4",22.15
"F5",27.08
"F6",21.06
"F7",25.57
"F8",25.47
"F9",33.62
"F10",22.31
"F11",27.08
"F12",21.05
"G1",30.88
"G2",20.18
"G3",29.01
"G4",21.64
"G5",22.36
"G6",29.71
"G7",30.06
"G8",19.91
"G9",28.71
"G10",22.07
"G11",22.58
"G12",29.69
"H1",26.86
"H2",16.70
"H3",19.45
"H4",""
"H5",20.70
"H6",20.66
"H7",26.41
"H8",16.16
"H9",18.81
"H10",""
"H11",21.71
"H12",22.92
