"Pos","Ct SYBR"
"A1",22.65
"A2",32.27
"A3",26.27
"A4",25.95
"A5",26.62
"A6",22.36
"A7",20.65
"A8",32.04
"A9",26.36
"A10",25.46
"A11",25.83
"A12",21.76
"B1",19.75
"B2",21.51
"B3",34.25
"B4",21.56
"B5",21.53
"B6",31.37
"B7",18.76
"B8",20.81
"B9",31.84
"B10",21.92
"B11",20.65
"B12",30.40
"C1",34.76
"C2",22.43
"C3",31.98
"C4",32.92
"C5",19.15
"C6",27.99
"C7",35.08
"C8",21.83
"C9",32.04
"C10",35.04
"C11",18.91
"C12",27.86
"D1",30.62
"D2",18.89
"D3",27.64
"D4",27.06
"D5",20.88
"D6",24.13
"D7",29.07
"D8",18.40
"D9",27.44
"D10",26.26
"D11",20.07
"D12",23.81
"E1",24.76
"E2",18.03
"E3",23.50
"E4",35.28
"E5",22.02
"E6",21.72
"E7",24.28
"E8",17.33
"E9",22.92
"E10",34.70
"E11",21.32
"E12",21.84
"F1",25.45
"F2",26.28
"F3",33.33
"F4",22.86
"F5",27.61
"F6",21.57
"F7",25.31
"F8",25.62
"F9",35.09
"F10",22.53
"F11",26.85
"F12",20.82
"G1",30.41
"G2",20.20
"G3",28.78
"G4",22.20
"G5",23.12
"G6",30.66
"G7",29.71
"G8",19.83
"G9",28.54
"G10",22.20
"G11",22.44
"G12",29.24
"H1",26.95
"H2",16.52
"H3",19.34
"H4",""
"H5",21.91
"H6",22.82
"H7",26.43
"H8",16.10
"H9",19.24
"H10",""
"H11",21.87
"H12",23.59
