"Pos","Ct SYBR"
"A1",23.52
"A2",30.38
"A3",25.86
"A4",26.11
"A5",26.87
"A6",22.27
"A7",20.49
"A8",35.28
"A9",26.93
"A10",25.88
"A11",26.70
"A12",21.67
"B1",20.85
"B2",21.54
"B3",32.42
"B4",22.15
"B5",21.60
"B6",30.95
"B7",19.19
"B8",21.14
"B9",34.11
"B10",22.90
"B11",21.51
"B12",31.33
"C1",34.99
"C2",22.71
"C3",32.67
"C4",""
"C5",18.40
"C6",27.69
"C7",37.66
"C8",22.03
"C9",35.89
"C10",""
"C11",18.21
"C12",27.86
"D1",31.52
"D2",19.42
"D3",27.93
"D4",26.94
"D5",20.70
"D6",24.03
"D7",30.09
"D8",19.53
"D9",29.26
"D10",26.83
"D11",20.76
"D12",24.18
"E1",25.86
"E2",18.61
"E3",23.41
"E4",35.06
"E5",22.18
"E6",21.98
"E7",24.53
"E8",18.15
"E9",23.39
"E10",36.52
"E11",22.17
"E12",23.11
"F1",26.47
"F2",26.28
"F3",33.57
"F4",22.97
"F5",27.58
"F6",21.75
"F7",24.85
"F8",26.19
"F9",33.08
"F10",23.51
"F11",28.24
"F12",21.35
"G1",31.90
"G2",20.31
"G3",28.98
"G4",22.44
"G5",23.45
"G6",29.56
"G7",29.93
"G8",19.85
"G9",29.68
"G10",22.92
"G11",23.60
"G12",30.06
"H1",28.28
"H2",16.85
"H3",19.81
"H4",""
"H5",21.31
"H6",21.90
"H7",26.90
"H8",16.27
"H9",20.20
"H10",""
"H11",21.99
"H12",20.99
