"Pos","Ct SYBR"
"A1",22.87
"A2",30.35
"A3",26.60
"A4",25.95
"A5",""
"A6",23.00
"A7",21.28
"A8",33.12
"A9",26.92
"A10",26.57
"A11",26.98
"A12",21.85
"B1",19.47
"B2",22.24
"B3",33.65
"B4",21.89
"B5",21.89
"B6",32.80
"B7",19.56
"B8",21.87
"B9",32.77
"B10",22.88
"B11",21.88
"B12",31.94
"C1",""
"C2",22.98
"C3",33.07
"C4",33.52
"C5",18.70
"C6",28.86
"C7",""
"C8",23.02
"C9",34.33
"C10",34.28
"C11",18.51
"C12",28.92
"D1",30.33
"D2",19.50
"D3",28.45
"D4",27.19
"D5",21.58
"D6",24.94
"D7",29.74
"D8",20.89
"D9",29.02
"D10",27.15
"D11",21.16
"D12",24.76
"E1",24.85
"E2",19.05
"E3",24.15
"E4",34.25
"E5",22.99
"E6",22.84
"E7",24.98
"E8",19.03
"E9",23.73
"E10",34.88
"E11",22.50
"E12",23.14
"F1",26.06
"F2",26.69
"F3",33.63
"F4",22.98
"F5",27.85
"F6",22.72
"F7",25.92
"F8",26.89
"F9",32.48
"F10",23.44
"F11",28.19
"F12",21.69
"G1",30.98
"G2",20.56
"G3",29.28
"G4",22.25
"G5",24.29
"G6",30.76
"G7",31.77
"G8",20.63
"G9",30.27
"G10",23.25
"G11",23.71
"G12",30.30
"H1",27.10
"H2",17.24
"H3",19.63
"H4",""
"H5",21.17
"H6",21.51
"H7",27.78
"H8",17.35
"H9",19.87
"H10",""
"H11",23.11
"H12",22.99
