"Pos","Ct SYBR"
"A1",22.96
"A2",30.51
"A3",25.63
"A4",25.51
"A5",26.55
"A6",22.50
"A7",20.82
"A8",32.83
"A9",25.94
"A10",25.54
"A11",26.06
"A12",21.50
"B1",19.28
"B2",21.72
"B3",32.43
"B4",21.45
"B5",21.48
"B6",31.68
"B7",18.97
"B8",21.01
"B9",32.04
"B10",22.67
"B11",21.02
"B12",30.37
"C1",""
"C2",22.96
"C3",32.45
"C4",34.24
"C5",18.28
"C6",28.04
"C7",33.80
"C8",22.37
"C9",33.37
"C10",""
"C11",17.94
"C12",28.92
"D1",30.03
"D2",18.97
"D3",27.49
"D4",26.79
"D5",20.58
"D6",24.32
"D7",29.89
"D8",18.37
"D9",28.66
"D10",26.36
"D11",19.94
"D12",23.98
"E1",24.62
"E2",18.65
"E3",23.36
"E4",34.76
"E5",22.13
"E6",21.87
"E7",24.42
"E8",18.51
"E9",23.09
"E10",34.69
"E11",21.58
"E12",22.88
"F1",25.28
"F2",26.14
"F3",32.65
"F4",22.95
"F5",27.46
"F6",21.91
"F7",25.06
"F8",25.76
"F9",32.67
"F10",23.82
"F11",27.56
"F12",20.88
"G1",31.42
"G2",19.95
"G3",28.99
"G4",21.80
"G5",23.73
"G6",29.60
"G7",29.99
"G8",19.85
"G9",28.62
"G10",22.13
"G11",22.96
"G12",29.22
"H1",26.62
"H2",16.58
"H3",20.08
"H4",""
"H5",21.42
"H6",20.76
"H7",26.70
"H8",16.43
"H9",19.79
"H10",""
"H11",21.94
"H12",22.96
