"Pos","Ct SYBR"
"A1",23.66
"A2",32.18
"A3",28.72
"A4",26.99
"A5",28.29
"A6",24.08
"A7",23.52
"A8",30.80
"A9",29.14
"A10",26.48
"A11",27.33
"A12",24.82
"B1",20.75
"B2",23.57
"B3",33.58
"B4",22.99
"B5",22.86
"B6",31.28
"B7",18.91
"B8",23.75
"B9",33.34
"B10",23.06
"B11",23.43
"B12",31.75
"C1",34.06
"C2",24.16
"C3",33.46
"C4",""
"C5",19.87
"C6",29.14
"C7",""
"C8",23.66
"C9",34.60
"C10",""
"C11",19.06
"C12",31.39
"D1",30.54
"D2",20.59
"D3",28.94
"D4",27.88
"D5",22.67
"D6",25.72
"D7",29.65
"D8",22.20
"D9",28.00
"D10",28.43
"D11",23.07
"D12",25.52
"E1",25.75
"E2",19.93
"E3",24.92
"E4",33.07
"E5",24.03
"E6",23.62
"E7",25.40
"E8",19.75
"E9",24.41
"E10",35.61
"E11",24.69
"E12",25.21
"F1",27.43
"F2",27.98
"F3",34.44
"F4",23.24
"F5",29.04
"F6",23.80
"F7",27.76
"F8",28.82
"F9",23.00
"F10",23.29
"F11",28.23
"F12",25.49
"G1",31.66
"G2",21.18
"G3",29.23
"G4",23.89
"G5",25.83
"G6",31.39
"G7",34.87
"G8",19.82
"G9",29.23
"G10",24.54
"G11",25.67
"G12",31.53
"H1",28.55
"H2",18.40
"H3",20.42
"H4",""
"H5",22.36
"H6",20.99
"H7",28.37
"H8",18.04
"H9",19.14
"H10",""
"H11",21.43
"H12",20.08
