"Pos","Ct SYBR"
"A1",23.48
"A2",31.42
"A3",29.42
"A4",26.92
"A5",27.80
"A6",24.10
"A7",22.28
"A8",29.50
"A9",27.75
"A10",26.86
"A11",26.70
"A12",22.98
"B1",20.23
"B2",23.82
"B3",32.99
"B4",22.77
"B5",22.66
"B6",31.70
"B7",18.98
"B8",22.23
"B9",31.70
"B10",22.12
"B11",21.62
"B12",31.15
"C1",35.21
"C2",23.76
"C3",34.49
"C4",34.74
"C5",19.06
"C6",29.74
"C7",34.67
"C8",22.87
"C9",31.92
"C10",""
"C11",18.06
"C12",28.95
"D1",30.23
"D2",20.77
"D3",28.47
"D4",27.88
"D5",22.30
"D6",25.37
"D7",29.70
"D8",19.72
"D9",27.57
"D10",26.39
"D11",20.90
"D12",24.44
"E1",25.68
"E2",19.92
"E3",24.83
"E4",34.35
"E5",24.31
"E6",24.05
"E7",24.65
"E8",18.93
"E9",23.40
"E10",35.38
"E11",22.91
"E12",22.85
"F1",27.86
"F2",28.39
"F3",34.79
"F4",23.11
"F5",28.99
"F6",24.10
"F7",26.24
"F8",27.07
"F9",33.39
"F10",22.03
"F11",27.38
"F12",22.77
"G1",32.56
"G2",20.71
"G3",29.11
"G4",24.00
"G5",25.54
"G6",31.16
"G7",31.61
"G8",19.89
"G9",28.61
"G10",22.38
"G11",24.22
"G12",30.39
"H1",28.55
"H2",18.16
"H3",19.74
"H4",""
"H5",23.25
"H6",21.93
"H7",26.66
"H8",17.16
"H9",19.00
"H10",""
"H11",21.74
"H12",21.37
