"Pos","Ct SYBR"
"A1",23.57
"A2",30.92
"A3",29.09
"A4",26.85
"A5",27.71
"A6",23.81
"A7",22.62
"A8",30.06
"A9",27.61
"A10",25.86
"A11",26.88
"A12",23.70
"B1",19.94
"B2",23.76
"B3",32.96
"B4",21.80
"B5",22.69
"B6",31.79
"B7",18.81
"B8",22.63
"B9",31.67
"B10",21.98
"B11",21.76
"B12",31.00
"C1",33.86
"C2",23.78
"C3",33.39
"C4",""
"C5",18.54
"C6",29.13
"C7",""
"C8",22.99
"C9",31.73
"C10",""
"C11",17.84
"C12",28.76
"D1",30.00
"D2",20.85
"D3",27.75
"D4",27.72
"D5",22.13
"D6",25.19
"D7",29.52
"D8",19.29
"D9",27.89
"D10",26.58
"D11",20.96
"D12",24.59
"E1",25.52
"E2",19.85
"E3",24.45
"E4",35.83
"E5",24.09
"E6",23.91
"E7",24.65
"E8",19.15
"E9",23.66
"E10",34.91
"E11",22.81
"E12",22.86
"F1",27.22
"F2",28.41
"F3",33.72
"F4",22.64
"F5",28.88
"F6",24.16
"F7",26.55
"F8",26.61
"F9",34.28
"F10",21.89
"F11",27.82
"F12",23.01
"G1",32.41
"G2",20.58
"G3",29.08
"G4",23.64
"G5",25.62
"G6",31.47
"G7",30.81
"G8",19.87
"G9",28.68
"G10",22.24
"G11",24.69
"G12",30.49
"H1",28.30
"H2",18.20
"H3",19.72
"H4",""
"H5",22.02
"H6",21.60
"H7",26.88
"H8",17.25
"H9",18.93
"H10",""
"H11",20.83
"H12",20.67
