"Pos","Ct SYBR"
"A1",21.58
"A2",32.49
"A3",26.29
"A4",26.21
"A5",26.79
"A6",22.63
"A7",20.71
"A8",31.98
"A9",26.10
"A10",25.14
"A11",25.98
"A12",21.52
"B1",19.69
"B2",21.66
"B3",33.97
"B4",22.40
"B5",21.98
"B6",32.31
"B7",18.79
"B8",21.25
"B9",32.36
"B10",22.66
"B11",21.10
"B12",30.64
"C1",37.16
"C2",22.45
"C3",35.01
"C4",""
"C5",17.98
"C6",29.65
"C7",33.19
"C8",22.55
"C9",32.54
"C10",36.54
"C11",17.56
"C12",28.37
"D1",30.29
"D2",20.49
"D3",28.65
"D4",28.40
"D5",21.44
"D6",24.79
"D7",30.03
"D8",18.14
"D9",28.44
"D10",26.29
"D11",19.81
"D12",23.92
"E1",24.90
"E2",18.71
"E3",23.71
"E4",34.84
"E5",23.47
"E6",22.87
"E7",24.35
"E8",18.76
"E9",23.18
"E10",34.85
"E11",21.79
"E12",22.63
"F1",26.19
"F2",26.86
"F3",34.62
"F4",23.86
"F5",28.12
"F6",22.90
"F7",25.38
"F8",25.70
"F9",32.74
"F10",23.28
"F11",27.67
"F12",21.06
"G1",32.86
"G2",19.93
"G3",29.79
"G4",22.44
"G5",23.98
"G6",30.16
"G7",31.16
"G8",19.99
"G9",29.15
"G10",22.04
"G11",22.88
"G12",29.63
"H1",28.64
"H2",16.78
"H3",19.64
"H4",""
"H5",22.38
"H6",23.98
"H7",26.06
"H8",16.43
"H9",19.12
"H10",35.63
"H11",21.22
"H12",21.81
