"Pos","Ct SYBR"
"A1",21.71
"A2",31.85
"A3",27.11
"A4",27.15
"A5",26.66
"A6",22.74
"A7",20.98
"A8",31.09
"A9",25.93
"A10",25.56
"A11",26.38
"A12",21.88
"B1",20.28
"B2",22.28
"B3",31.73
"B4",22.27
"B5",22.61
"B6",31.92
"B7",19.03
"B8",21.25
"B9",31.00
"B10",22.62
"B11",21.35
"B12",30.79
"C1",""
"C2",23.45
"C3",34.31
"C4",""
"C5",18.53
"C6",30.32
"C7",33.00
"C8",22.62
"C9",32.01
"C10",32.50
"C11",17.87
"C12",28.67
"D1",30.43
"D2",20.97
"D3",29.12
"D4",29.94
"D5",22.39
"D6",24.93
"D7",30.08
"D8",18.33
"D9",28.23
"D10",26.40
"D11",20.17
"D12",24.42
"E1",25.62
"E2",19.20
"E3",23.80
"E4",35.90
"E5",23.84
"E6",23.53
"E7",24.58
"E8",18.61
"E9",23.29
"E10",""
"E11",21.93
"E12",22.38
"F1",26.33
"F2",27.90
"F3",32.92
"F4",25.11
"F5",28.24
"F6",23.67
"F7",25.39
"F8",25.96
"F9",31.59
"F10",23.31
"F11",27.85
"F12",21.40
"G1",""
"G2",20.24
"G3",30.34
"G4",23.52
"G5",24.46
"G6",30.59
"G7",30.62
"G8",20.01
"G9",28.82
"G10",22.27
"G11",23.16
"G12",29.99
"H1",28.86
"H2",17.41
"H3",20.03
"H4",""
"H5",23.52
"H6",24.01
"H7",26.29
"H8",16.47
"H9",19.26
"H10",""
"H11",21.58
"H12",22.19
