Well,Cq
A01,NaN
A02,37.01083247
A03,37.56228511
A04,38.69120052
A05,37.13555834
A06,38.06796743
A07,36.25084525
A08,36.17711377
A09,36.34645684
A10,36.23733348
A11,35.18305925
A12,36.17052385
A13,36.31574733
A14,37.13837377
A15,NaN
A16,35.27979915
A17,36.07715824
A18,37.51617353
A19,35.19226708
A20,35.27093157
A21,37.21619646
A22,34.45377747
A23,NaN
A24,NaN
B01,NaN
B02,35.73360821
B03,NaN
B04,36.31913309
B05,36.50811872
B06,NaN
B07,36.13358346
B08,NaN
B09,36.06317259
B10,36.12008667
B11,36.18541376
B12,37.11638896
B13,36.15401682
B14,39.75659603
B15,36.83686441
B16,37.1328619
B17,34.10356526
B18,37.48269733
B19,37.41796938
B20,36.18547774
B21,NaN
B22,35.81776209
B23,37.40414291
B24,39.48885118
C01,NaN
C02,NaN
C03,NaN
C04,NaN
C05,NaN
C06,NaN
C07,38.83241704
C08,NaN
C09,NaN
C10,36.79174193
C11,NaN
C12,NaN
C13,37.88293438
C14,38.83572876
C15,NaN
C16,NaN
C17,NaN
C18,NaN
C19,37.59876613
C20,37.47747163
C21,NaN
C22,38.53955884
C23,37.78421872
C24,NaN
D01,33.26072343
D02,30.39395696
D03,30.49202492
D04,30.92729388
D05,32.41153642
D06,31.24925222
D07,30.77080036
D08,30.93982178
D09,30.29055642
D10,30.31125492
D11,30.17123504
D12,31.43378876
D13,32.54044387
D14,32.1347605
D15,33.06066234
D16,29.13343153
D17,29.86773189
D18,31.27843571
D19,32.2851305
D20,31.6072448
D21,31.13389783
D22,29.48792383
D23,31.18163713
D24,32.39481301
E01,31.43469689
E02,29.72116237
E03,28.7703091
E04,29.71779304
E05,29.55669121
E06,30.78396109
E07,28.67521504
E08,28.62040499
E09,27.71668222
E10,28.31322053
E11,30.29555028
E12,30.48964188
E13,30.4055276
E14,29.48583409
E15,28.68720899
E16,29.13885605
E17,29.10883161
E18,30.19133204
E19,30.1529109
E20,28.39101093
E21,30.03848154
E22,27.71976285
E23,29.21580373
E24,30.30217412
F01,30.40195924
F02,28.58601372
F03,28.24209241
F04,28.57062612
F05,29.33221538
F06,31.09283788
F07,28.5438306
F08,27.72634377
F09,27.99724617
F10,28.44120724
F11,30.09780756
F12,30.22157279
F13,31.10458965
F14,30.80653077
F15,32.26514314
F16,29.7692753
F17,28.03631117
F18,30.01876755
F19,29.47009117
F20,29.84286485
F21,30.02325977
F22,27.82222974
F23,29.03665508
F24,31.0606793
G01,23.30286897
G02,22.112035
G03,22.41987847
G04,22.98607043
G05,23.90477481
G06,25.0116789
G07,22.12943154
G08,22.26518838
G09,22.13770029
G10,22.79359198
G11,23.21181713
G12,23.052299
G13,24.01887765
G14,23.80868628
G15,24.30759938
G16,22.54956359
G17,21.6745186
G18,23.04667163
G19,22.5693782
G20,22.80963679
G21,24.32788514
G22,22.0063412
G23,22.82117983
G24,23.50232748
H01,25.69776647
H02,23.9596024
H03,23.95651705
H04,23.7075691
H05,25.45634516
H06,26.40216382
H07,23.52641094
H08,23.82091749
H09,23.74593081
H10,24.23554438
H11,24.89532453
H12,24.21076638
H13,24.63973853
H14,24.72772673
H15,25.00785984
H16,24.03585557
H17,23.19808409
H18,23.8614371
H19,24.06482956
H20,23.63059629
H21,24.94916013
H22,22.91097817
H23,24.08566458
H24,24.95678142
I01,35.28303858
I02,35.26699399
I03,35.82864902
I04,34.72868269
I05,31.31402547
I06,35.00265185
I07,37.6330626
I08,35.1744868
I09,35.86810088
I10,34.49708739
I11,35.491271
I12,NaN
I13,35.19484715
I14,34.85386109
I15,33.64238251
I16,36.61810139
I17,34.10984924
I18,35.29917171
I19,34.55206355
I20,34.04683238
I21,35.11924059
I22,NaN
I23,NaN
I24,NaN
J01,36.08027206
J02,35.03362283
J03,36.28167559
J04,36.50098613
J05,NaN
J06,37.17734589
J07,37.63744173
J08,36.57697846
J09,37.57760548
J10,NaN
J11,39.03560434
J12,36.86091844
J13,36.40666625
J14,38.60075393
J15,36.88824919
J16,37.22518553
J17,37.52551013
J18,37.77639345
J19,NaN
J20,NaN
J21,NaN
J22,NaN
J23,NaN
J24,NaN
K01,NaN
K02,NaN
K03,NaN
K04,37.4778392
K05,35.43945735
K06,NaN
K07,NaN
K08,NaN
K09,38.93353628
K10,NaN
K11,NaN
K12,NaN
K13,38.54441791
K14,38.30774807
K15,39.01098507
K16,NaN
K17,NaN
K18,NaN
K19,38.24468014
K20,37.57372688
K21,39.87448338
K22,NaN
K23,NaN
K24,NaN
L01,28.65728871
L02,29.70795843
L03,30.91768698
L04,29.65341267
L05,30.64120411
L06,27.12191242
L07,31.36756868
L08,31.22619442
L09,31.41475367
L10,31.80905331
L11,30.7514668
L12,30.50684316
L13,30.51338601
L14,32.48597535
L15,29.69224111
L16,30.07072783
L17,30.97588751
L18,30.33790144
L19,32.7072399
L20,33.32311616
L21,31.21136079
L22,NaN
L23,NaN
L24,NaN
M01,28.10356959
M02,29.5542718
M03,30.53372049
M04,29.07815613
M05,28.53926931
M06,27.02214251
M07,30.21420795
M08,29.76045155
M09,29.08415425
M10,28.37829914
M11,29.64485208
M12,29.84803548
M13,29.49639576
M14,28.78126406
M15,27.80612735
M16,29.24369666
M17,27.69032777
M18,28.16739205
M19,28.86187637
M20,26.50494733
M21,28.38403342
M22,NaN
M23,NaN
M24,NaN
N01,27.68298273
N02,29.06046236
N03,30.02831945
N04,29.10057037
N05,29.97616315
N06,27.12131337
N07,29.67260803
N08,29.73841908
N09,29.49521189
N10,30.28767144
N11,29.48436226
N12,30.06809642
N13,29.05496378
N14,31.43252101
N15,28.32157666
N16,29.19181239
N17,29.47847912
N18,28.96394276
N19,30.29823812
N20,30.29525011
N21,29.53310713
N22,NaN
N23,NaN
N24,NaN
O01,21.50176472
O02,21.35937205
O03,22.23023182
O04,21.0790964
O05,21.05993676
O06,21.04971282
O07,22.54914816
O08,22.50521042
O09,21.98417932
O10,22.33487087
O11,22.7797424
O12,23.28004257
O13,22.73314122
O14,22.57429656
O15,21.18755829
O16,22.41966284
O17,23.25342591
O18,21.94177583
O19,22.56066142
O20,22.23894908
O21,22.51506467
O22,NaN
O23,NaN
O24,NaN
P01,23.8007394
P02,23.78232705
P03,24.59493651
P04,23.52643329
P05,23.15342448
P06,22.87183552
P07,23.84248375
P08,23.86962033
P09,23.7864883
P10,22.65512734
P11,24.18670354
P12,24.36608868
P13,24.10437749
P14,23.51516051
P15,22.29794732
P16,23.89485109
P17,25.40252076
P18,23.21871341
P19,23.75429831
P20,23.79604147
P21,24.12862204
P22,NaN
P23,NaN
P24,NaN
